shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product_Goodness
569,1,15.39600,800.85986,1.09000,28.24119,642.11816,642.11816,0.36000,20.02011,1.98800,190.10001,194.80000,200.10001,205.00000,209.80000,43.00000,0.66600,1
570,1,15.55600,800.67542,0.92200,28.24119,637.16382,637.06671,0.36000,20.00991,1.98400,190.10001,194.80000,200.00000,205.00000,209.80000,42.90000,0.66200,1
571,1,15.53400,800.85986,1.08800,28.24119,646.39246,646.39246,0.36000,20.03030,2.00200,190.10001,195.00000,200.00000,205.00000,210.00000,43.00000,0.66200,1
572,1,15.49400,800.85986,0.97600,28.24119,641.34100,641.34100,0.36000,20.07617,1.99200,190.10001,195.10001,200.10001,205.00000,210.00000,43.00000,0.66800,0
573,1,15.39600,800.49097,0.82800,28.24119,641.72955,641.72955,0.36000,20.07617,1.98800,190.10001,195.00000,199.80000,205.00000,210.00000,43.20000,0.66200,1
574,1,15.55600,800.85986,1.07600,28.24119,649.50104,649.50104,0.36000,20.07617,2.00000,190.10001,194.80000,200.10001,205.00000,210.00000,43.20000,0.66200,1
575,1,15.53400,800.49097,0.87600,28.24119,646.68390,646.68390,0.36000,20.01501,1.99600,190.00000,194.80000,200.10001,205.00000,210.00000,43.00000,0.66000,1
576,1,15.49200,800.67542,1.13200,28.24119,644.93530,644.93530,0.36000,20.03030,2.01000,190.10001,194.80000,200.10001,205.00000,210.00000,43.20000,0.66200,1
577,1,15.39600,800.49097,0.90200,28.24119,646.68390,646.68390,0.36000,20.04049,2.00200,190.00000,194.60001,199.80000,205.00000,210.00000,43.20000,0.66400,1
578,1,15.55600,800.30652,0.88000,28.24119,647.07245,647.07245,0.36000,20.08636,1.98000,189.80000,194.60001,199.80000,205.00000,210.00000,43.50000,0.66200,0
579,1,15.53400,800.30652,0.94600,28.24119,660.28400,660.28400,0.36000,20.05578,1.99600,189.80000,194.80000,199.60001,205.00000,209.80000,43.50000,0.66200,1
580,1,15.49400,800.85986,1.20600,28.24119,659.99255,659.99255,0.36000,20.07617,1.98200,190.00000,195.10001,199.80000,204.80000,209.80000,43.40000,0.66400,1
581,1,15.39600,800.49097,0.86600,28.24119,656.88397,656.88397,0.36000,20.10165,1.99600,190.00000,195.10001,199.80000,204.80000,209.80000,43.50000,0.66200,1
582,1,15.55800,800.49097,0.86600,28.24119,650.76392,650.76392,0.36000,20.08127,1.95800,190.00000,195.30000,200.00000,205.00000,209.80000,43.50000,0.66200,1
583,1,15.53400,800.49097,0.86200,28.24119,660.96399,660.96399,0.36000,20.07107,1.99800,189.80000,195.30000,200.10001,205.00000,209.80000,43.70000,0.66600,1
584,1,15.49200,800.49097,0.86400,28.24119,641.72955,641.43817,0.36000,20.10165,1.97600,189.80000,195.10001,200.00000,205.00000,209.80000,43.70000,0.66200,1
