Peak value tool,Peak value screw,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Maximum injection pressure,Switch-over pressure,Peak value of mould,Peak value of ejector,Cycle time,Dosing time,Injection time,Mould protection time,Temperature of feed yoke,Material cushion,Switch-over volume,Cylinder heating zone 5,ground_truth
800.491,119.909,214.6,214.8,220.6,225,2179.607,1716.816,3.47,0.148,24.414,2.058,0.452,0.66,42.5,28.471,44.948,229.8,1
800.491,119.909,214.8,215,220.6,225,2157.653,1736.245,3.066,0.142,24.336,2.068,0.45,0.656,42.5,28.649,44.964,229.8,1
800.675,119.909,214.8,215.1,220.6,225,2170.087,1740.908,3.602,0.154,24.338,2.068,0.452,0.654,42.7,28.639,44.953,229.8,1
800.675,119.909,214.8,215.1,220.6,225,2170.087,1740.908,3.602,0.154,24.338,2.068,0.452,0.654,42.7,28.639,44.953,229.8,0
800.86,119.909,214.8,214.8,220.6,225,2184.173,1744.113,3.528,0.144,24.338,2.066,0.452,0.656,43,28.572,44.943,229.8,1
800.86,119.909,214.8,214.8,220.6,225,2184.173,1744.113,3.528,0.144,24.338,2.066,0.452,0.656,43,28.572,44.943,229.8,1
800.86,119.909,214.6,214.6,220.5,225,2200.008,1733.816,3.026,0.154,24.34,2.074,0.454,0.656,43.2,28.659,44.979,229.8,1
800.675,119.909,214.6,214.8,220.3,225,2217.688,1733.525,2.862,0.144,24.366,2.068,0.454,0.658,43.2,28.781,44.964,229.8,1
800.675,119.909,214.6,214.8,220.3,225,2217.688,1733.525,2.862,0.144,24.366,2.068,0.454,0.658,43.2,28.781,44.964,229.8,1
801.044,119.909,214.8,215,220.3,225,2175.527,1731.776,3.222,0.154,24.336,2.046,0.45,0.656,43.5,28.557,44.999,229.8,1
801.044,119.909,214.8,215,220.3,225,2175.527,1731.776,3.222,0.154,24.336,2.046,0.45,0.656,43.5,28.557,44.999,229.8,1
800.86,119.909,215.1,215.1,220.3,225,2195.15,1746.348,2.936,0.146,24.34,2.076,0.454,0.656,43.7,28.787,44.959,230,1
800.86,119.909,215.1,215.1,220.3,225,2195.15,1746.348,2.936,0.146,24.34,2.076,0.454,0.656,43.7,28.787,44.959,230,0
